target,feature_set,model,evaluation,replicate,bootstrap_sample_n,bootstrap_full_event_n,bootstrap_early_candidate_n,nominal_fraction,budget_lock,B_early,B_all,C00_early_Bearly,C10_all_Bearly,C01_early_Ball,C11_all_Ball,C00_tp,C10_tp,C01_tp,C11_tp,canonical_fixed_budget_C01_C11_crosscheck,availability_main_at_early_budget,capacity_main_in_early_cohort,interaction,ordered_capacity_within_early_cohort,ordered_availability_at_all_budget,availability_at_early_budget,capacity_in_all_cohort,shapley_availability,shapley_capacity,total_topq_contrast,identity_factorial_error,identity_shapley_error,interaction_via_availability_error,interaction_via_capacity_error
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,10,3480382,302800,2601504,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09041941875825628,0.1004557463672391,0.11080911492734478,0.12389365918097754,27379,30418,33553,37515,PASS,0.01003632760898282,0.020389696169088506,0.003048216644649937,0.020389696169088506,0.013084544253632757,0.01003632760898282,0.023437912813738443,0.011560435931307789,0.021913804491413474,0.03347424042272126,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,10,3480382,302800,2601504,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14561756935270806,0.16515191545574637,0.17830911492734478,0.202556142668428,44093,50008,53992,61334,PASS,0.019534346103038308,0.032691545574636716,0.004712681638044919,0.032691545574636716,0.024247027741083227,0.019534346103038308,0.037404227212681634,0.021890686922060767,0.035047886393659175,0.05693857331571994,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,11,3480382,302571,2602134,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09006150622498521,0.10052516599409725,0.11083018531187722,0.12424852348704932,27250,30416,33534,37594,PASS,0.010463659769112038,0.020768679086892006,0.002954678406060063,0.020768679086892006,0.013418338175172101,0.010463659769112038,0.02372335749295207,0.01194099897214207,0.022246018289922037,0.03418701726206411,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,11,3480382,302571,2602134,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14601862042297512,0.16560741115308472,0.17870185840678718,0.20363815435054913,44181,50108,54070,61615,PASS,0.019588790730109606,0.03268323798381206,0.005347505213652348,0.03268323798381206,0.024936295943761955,0.019588790730109606,0.03803074319746441,0.02226254333693578,0.03535699059063824,0.05761953392757402,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,12,3480382,303216,2601187,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09073399820589942,0.10048282412537597,0.11103305894148066,0.1242579547253443,27512,30468,33667,37677,PASS,0.009748825919476553,0.020299060735581242,0.003476069864387088,0.020299060735581242,0.013224895783863641,0.009748825919476553,0.02377513059996833,0.011486860851670097,0.022037095667774786,0.033523956519444884,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,12,3480382,303216,2601187,0.1,fixed_observed_point_absolute_counts,260106,348038,0.146631444250963,0.1654101366682497,0.1793572898527782,0.20334019312965015,44461,50155,54384,61656,PASS,0.01877869241728669,0.03272584560181521,0.005204210859585251,0.03272584560181521,0.023982903276871942,0.01877869241728669,0.03793005646140046,0.021380797847079316,0.03532795103160784,0.056708748878687154,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,13,3480382,303325,2601701,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09039149427182065,0.10054232259127999,0.11078546113904228,0.12424627050193687,27418,30497,33604,37687,PASS,0.010150828319459335,0.020393966867221627,0.003309981043435259,0.020393966867221627,0.013460809362894594,0.010150828319459335,0.023703947910656886,0.011805818841176964,0.022048957388939257,0.03385477623011622,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,13,3480382,303325,2601701,0.1,fixed_observed_point_absolute_counts,260106,348038,0.1460084068243633,0.16534410285996867,0.17904228138135664,0.20312865738069727,44288,50153,54308,61614,PASS,0.019335696035605365,0.03303387455699333,0.004750679963735266,0.03303387455699333,0.02408637599934063,0.019335696035605365,0.0377845545207286,0.021711036017473,0.035409214538860964,0.05712025055633396,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,14,3480382,303114,2600578,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09008821763428941,0.1002329156686923,0.11034792190397012,0.12359706249133989,27307,30382,33448,37464,PASS,0.01014469803440289,0.02025970426968071,0.0031044425529668795,0.02025970426968071,0.01324914058736977,0.01014469803440289,0.02336414682264759,0.01169691931088633,0.02181192554616415,0.03350884485705048,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,14,3480382,303114,2600578,0.1,fixed_observed_point_absolute_counts,260106,348038,0.1458824072791095,0.16469381156924456,0.17848730180724084,0.20262673449593221,44219,49921,54102,61419,PASS,0.01881140429013506,0.03260489452813134,0.0053280283985563115,0.03260489452813134,0.02413943268869137,0.01881140429013506,0.03793292292668765,0.021475418489413214,0.035268908727409495,0.05674432721682271,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,15,3480382,303144,2601001,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09103264455176417,0.10067162800517246,0.11102314411632755,0.12475919035178001,27596,30518,33656,37820,PASS,0.009638983453408287,0.019990499564563377,0.004097062782044178,0.019990499564563377,0.013736046235452465,0.009638983453408287,0.024087562346607555,0.011687514844430376,0.022039030955585466,0.03372654580001584,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,15,3480382,303144,2601001,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14642875992927454,0.16562095901617713,0.1790997017918877,0.2032730319584092,44389,50207,54293,61621,PASS,0.01919219908690259,0.032670941862613156,0.004981131079618922,0.032670941862613156,0.02417333016652151,0.01919219908690259,0.03765207294223208,0.02168276462671205,0.03516150740242262,0.05684427202913467,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,16,3480382,302878,2601693,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09069658410317025,0.1006147689828908,0.11118668242658761,0.12490177563243286,27470,30474,33676,37830,PASS,0.009918184879720557,0.02049009832341736,0.0037969083261246983,0.02049009832341736,0.013715093205845255,0.009918184879720557,0.02428700664954206,0.011816639042782906,0.02238855248647971,0.034205191529262616,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,16,3480382,302878,2601693,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14650453317837545,0.16587536896043953,0.17893013028348048,0.20383784890285858,44373,50240,54194,61738,PASS,0.019370835782064083,0.032425597105105036,0.005536882837314017,0.032425597105105036,0.0249077186193781,0.019370835782064083,0.03796247994241905,0.02213927720072109,0.035194038523762045,0.057333315724483136,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,17,3480382,302641,2602336,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09109803364382221,0.10086538175594185,0.1114918335585727,0.12510862705317521,27570,30526,33742,37863,PASS,0.009767348112119642,0.020393799914750488,0.0038494453824828717,0.020393799914750488,0.013616793494602514,0.009767348112119642,0.02424324529723336,0.011692070803361078,0.022318522605991924,0.034010593409353,0.0,0.0,0.0,0.0
