target,feature_set,model,evaluation,probability_type,bin,bin_n,event_n,mean_predicted_probability,observed_event_rate,absolute_gap,minimum_probability,maximum_probability,population,scenario
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,1,130053,5011,0.039059732681723976,0.03853044528000123,0.0005292874017227486,0.022287979156129047,0.04247621751293441,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,2,130053,6008,0.04515786153984099,0.04619655063704797,0.001038689097206981,0.04247621751293441,0.04766756196209601,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,3,130053,6482,0.05001770987706742,0.049841218580117336,0.00017649129695008342,0.04766756196209601,0.052186421240786075,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,4,130053,7089,0.05407039421247717,0.05450854651565131,0.0004381523031741427,0.052186421240786075,0.05589433347208046,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,5,130053,7377,0.05761265933465966,0.05672302830384535,0.0008896310308143043,0.05589433347208046,0.059253307440714165,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,6,130053,7767,0.06076041655779375,0.059721805725358124,0.0010386108324356297,0.05925339362479315,0.062324459525806765,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,7,130053,8119,0.06386746062553292,0.06242839457759529,0.0014390660479376288,0.062324459525806765,0.06538127259045072,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,8,130053,8574,0.06687718740602575,0.06592696823602685,0.0009502191699988921,0.06538128012142629,0.06837434582094198,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,9,130053,8980,0.06992591281325564,0.0690487724235504,0.0008771403897052388,0.06837434582094198,0.07149588639325934,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,10,130053,9458,0.07309560104061086,0.07272419705812246,0.00037140398248840245,0.07149591529196196,0.07472421645739571,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,11,130053,9727,0.07643106449522741,0.0747925845616787,0.0016384799335487088,0.07472421645739571,0.07817276894899175,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,12,130053,10310,0.08002542211579627,0.07927537234819651,0.0007500497675997642,0.07817276894899175,0.08195585683701412,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,13,130053,10697,0.08400408998503336,0.08225108225108226,0.001753007733951109,0.08195588711701603,0.08617076606809268,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,14,130053,11362,0.08857680339971584,0.0873643822134053,0.0012124211863105416,0.0861707731439025,0.09110478140958714,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,15,130053,12062,0.09399580790588385,0.09274680322637693,0.001249004679506921,0.09110478140958714,0.09706017489692864,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,16,130053,12836,0.10061014983550816,0.09869822303214844,0.0019119268033597203,0.09706026807275032,0.10449500063038511,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,17,130053,14074,0.10926362585757037,0.10821741905223255,0.0010462068053378182,0.10449510725882302,0.11463215078027865,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,18,130053,15375,0.121814952023992,0.11822103296348412,0.0035939190605078775,0.11463224438325173,0.13031132303118825,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,19,130053,18172,0.14374526057360504,0.13972764949674363,0.00401761107686141,0.13031132303118825,0.1619878531648251,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,raw,20,130053,28152,0.22137612282010544,0.2164655947959678,0.004910528024137634,0.1619878531648251,0.7384844111977789,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,1,130053,5011,0.03838622596624964,0.03853044528000123,0.0001442193137515882,0.021691775465004528,0.04180293144095929,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,2,130053,6008,0.04448959119241857,0.04619655063704797,0.0017069594446294037,0.04180293144095929,0.047005656419672304,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,3,130053,6482,0.04936453798081129,0.049841218580117336,0.00047668059930604245,0.047005656419672304,0.0515424028111103,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,4,130053,7089,0.05343602878272017,0.05450854651565131,0.0010725177329311414,0.0515424028111103,0.05527003342858861,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,5,130053,7377,0.05699907912397911,0.05672302830384535,0.0002760508201337594,0.05527003342858861,0.058650501128621475,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,6,130053,7767,0.060168427052987944,0.059721805725358124,0.0004466213276298203,0.05865058790649994,0.06174413807759147,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,7,130053,8119,0.06329951100195347,0.06242839457759529,0.0008711164243581787,0.06174413807759147,0.0648258678941287,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,8,130053,8574,0.06633495088390623,0.06592696823602685,0.0004079826478793763,0.06482587548949754,0.0678456633223162,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,9,130053,8980,0.06941204704928344,0.0690487724235504,0.0003632746257330455,0.0678456633223162,0.0709973999688629,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,10,130053,9458,0.072613570581463,0.07272419705812246,0.00011062647665945058,0.07099742915774668,0.07425933354023904,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,11,130053,9727,0.07598499031656589,0.0747925845616787,0.001192405754887188,0.07425933354023904,0.07774631338991991,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,12,130053,10310,0.07962076457843315,0.07927537234819651,0.00034539223023663523,0.07774631338991991,0.0815744060198638,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,13,130053,10697,0.08364833197835528,0.08225108225108226,0.0013972497272730228,0.08157443667158662,0.08584277227793122,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,14,130053,11362,0.08828099557531177,0.0873643822134053,0.0009166133619064737,0.08584277944630157,0.09084353273174144,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,15,130053,12062,0.09377588604722976,0.09274680322637693,0.0010290828208528308,0.09084353273174144,0.09688506201204412,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,16,130053,12836,0.10048943920019451,0.09869822303214844,0.0017912161680460753,0.09688515658083939,0.10443528645204016,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,17,130053,14074,0.10928273605335499,0.10821741905223255,0.0010653170011224455,0.10443539479442993,0.11474245113413221,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,18,130053,15375,0.12205481227569379,0.11822103296348412,0.0038337793122096703,0.11474254636941422,0.13070953428519574,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,19,130053,18172,0.144413990510708,0.13972764949674363,0.004686341013964368,0.13070953428519574,0.16304045929398883,singleton_primary,early_entry
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,20,130053,28152,0.22383976064984645,0.2164655947959678,0.00737416585387865,0.16304045929398883,0.748442091112565,singleton_primary,early_entry
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,1,17745,713,0.03993415978537498,0.04018033248802479,0.00024617270264981617,0.025149546690077317,0.043085590602961694,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,2,17745,789,0.04560752624887781,0.04446322907861369,0.0011442971702641178,0.04308582603992353,0.04792933331753569,singleton_primary,full_cohort
