target,feature_set,model,evaluation,replicate,bootstrap_sample_n,bootstrap_event_n,protocol,nominal_fraction,from_scenario,to_scenario,from_selected_n,to_selected_n,delta_selected_n,from_true_positive_n,to_true_positive_n,delta_true_positive_n,from_population_event_capture,to_population_event_capture,delta_population_event_capture
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,cohort_specific_top_fraction,0.1,any_prenatal_care,all_record_upper_bound,334007,348038,14031,56114,61944,5830,0.18483724545927677,0.2040410295599929,0.01920378410071613
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,cohort_specific_top_fraction,0.1,early_entry,all_record_upper_bound,260111,348038,87927,44814,61944,17130,0.14761550269116494,0.2040410295599929,0.05642552686882796
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_absolute_budget,0.05,early_entry,any_prenatal_care,174019,174019,0,33925,35986,2061,0.11174757729276054,0.11853642789851969,0.00678885060575915
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_absolute_budget,0.05,any_prenatal_care,all_record_upper_bound,174019,174019,0,35986,37978,1992,0.11853642789851969,0.12509799529622578,0.0065615673977060945
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_absolute_budget,0.05,early_entry,all_record_upper_bound,174019,174019,0,33925,37978,4053,0.11174757729276054,0.12509799529622578,0.013350418003465245
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_absolute_budget,0.1,early_entry,any_prenatal_care,348038,348038,0,54682,57784,3102,0.18012029540229127,0.19033815788606853,0.010217862483777262
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_absolute_budget,0.1,any_prenatal_care,all_record_upper_bound,348038,348038,0,57784,61944,4160,0.19033815788606853,0.2040410295599929,0.013702871673924366
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_absolute_budget,0.1,early_entry,all_record_upper_bound,348038,348038,0,54682,61944,7262,0.18012029540229127,0.2040410295599929,0.02392073415770163
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_calibration_threshold,0.05,early_entry,any_prenatal_care,129644,172511,42867,27716,35805,8089,0.09129538252752104,0.1179402212223225,0.02664483869480147
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_calibration_threshold,0.05,any_prenatal_care,all_record_upper_bound,172511,183712,11201,35805,39480,3675,0.1179402212223225,0.13004552252080134,0.012105301298478838
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_calibration_threshold,0.05,early_entry,all_record_upper_bound,129644,183712,54068,27716,39480,11764,0.09129538252752104,0.13004552252080134,0.03875013999328031
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_calibration_threshold,0.1,early_entry,any_prenatal_care,246302,335349,89047,43109,56275,13166,0.14199930168057814,0.18536757294473394,0.043368271264155794
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_calibration_threshold,0.1,any_prenatal_care,all_record_upper_bound,335349,362472,27123,56275,63671,7396,0.18536757294473394,0.2097296976803937,0.024362124735659768
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_calibration_threshold,0.1,early_entry,all_record_upper_bound,246302,362472,116170,43109,63671,20562,0.14199930168057814,0.2097296976803937,0.06773039599981556
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,cohort_specific_top_fraction,0.05,early_entry,any_prenatal_care,130087,166982,36895,27057,34299,7242,0.08948042026728047,0.11343049616540832,0.02395007589812785
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,cohort_specific_top_fraction,0.05,any_prenatal_care,all_record_upper_bound,166982,174019,7037,34299,37279,2980,0.11343049616540832,0.12328567790752665,0.00985518174211833
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,cohort_specific_top_fraction,0.05,early_entry,all_record_upper_bound,130087,174019,43932,27057,37279,10222,0.08948042026728047,0.12328567790752665,0.03380525764024618
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,cohort_specific_top_fraction,0.1,early_entry,any_prenatal_care,260175,333963,73788,43827,55303,11476,0.14494062087644977,0.1828929919075068,0.03795237103105703
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,cohort_specific_top_fraction,0.1,any_prenatal_care,all_record_upper_bound,333963,348038,14075,55303,60973,5670,0.1828929919075068,0.20164429408126888,0.018751302173762086
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,cohort_specific_top_fraction,0.1,early_entry,all_record_upper_bound,260175,348038,87863,43827,60973,17146,0.14494062087644977,0.20164429408126888,0.056703673204819116
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,fixed_absolute_budget,0.05,early_entry,any_prenatal_care,174019,174019,0,33181,35269,2088,0.10973314945813036,0.11663839089354751,0.006905241435417153
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,fixed_absolute_budget,0.05,any_prenatal_care,all_record_upper_bound,174019,174019,0,35269,37279,2010,0.11663839089354751,0.12328567790752665,0.006647287013979139
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,fixed_absolute_budget,0.05,early_entry,all_record_upper_bound,174019,174019,0,33181,37279,4098,0.10973314945813036,0.12328567790752665,0.013552528449396292
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,fixed_absolute_budget,0.1,early_entry,any_prenatal_care,348038,348038,0,53735,56882,3147,0.17770744661500965,0.18811491538764266,0.010407468772633016
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,fixed_absolute_budget,0.1,any_prenatal_care,all_record_upper_bound,348038,348038,0,56882,60973,4091,0.18811491538764266,0.20164429408126888,0.01352937869362622
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,fixed_absolute_budget,0.1,early_entry,all_record_upper_bound,348038,348038,0,53735,60973,7238,0.17770744661500965,0.20164429408126888,0.023936847466259237
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,fixed_calibration_threshold,0.05,early_entry,any_prenatal_care,128876,172011,43135,26874,34998,8124,0.08887521950929132,0.11574216463444882,0.0268669451251575
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,fixed_calibration_threshold,0.05,any_prenatal_care,all_record_upper_bound,172011,183153,11142,34998,38664,3666,0.11574216463444882,0.12786602244203465,0.012123857807585833
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,fixed_calibration_threshold,0.05,early_entry,all_record_upper_bound,128876,183153,54277,26874,38664,11790,0.08887521950929132,0.12786602244203465,0.03899080293274333
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,fixed_calibration_threshold,0.1,early_entry,any_prenatal_care,245273,334402,89129,42083,55364,13281,0.13917302458173353,0.1830947254935032,0.04392170091176967
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,fixed_calibration_threshold,0.1,any_prenatal_care,all_record_upper_bound,334402,361260,26858,55364,62576,7212,0.1830947254935032,0.2069455881526164,0.02385086265911321
target_preterm,landmark_strict,lightgbm,temporal_test_2023,5,3480382,302379,fixed_calibration_threshold,0.1,early_entry,all_record_upper_bound,245273,361260,115987,42083,62576,20493,0.13917302458173353,0.2069455881526164,0.06777256357088288
target_preterm,landmark_strict,lightgbm,temporal_test_2023,6,3480382,304148,cohort_specific_top_fraction,0.05,early_entry,any_prenatal_care,130007,166997,36990,27417,34761,7344,0.09014361429304155,0.11428975367255415,0.0241461393795126
target_preterm,landmark_strict,lightgbm,temporal_test_2023,6,3480382,304148,cohort_specific_top_fraction,0.05,any_prenatal_care,all_record_upper_bound,166997,174019,7022,34761,37737,2976,0.11428975367255415,0.1240744637479122,0.009784710075358055
target_preterm,landmark_strict,lightgbm,temporal_test_2023,6,3480382,304148,cohort_specific_top_fraction,0.05,early_entry,all_record_upper_bound,130007,174019,44012,27417,37737,10320,0.09014361429304155,0.1240744637479122,0.033930849454870654
target_preterm,landmark_strict,lightgbm,temporal_test_2023,6,3480382,304148,cohort_specific_top_fraction,0.1,early_entry,any_prenatal_care,260014,333995,73981,44420,55892,11472,0.1460473190683483,0.18376579822980918,0.03771847916146087
target_preterm,landmark_strict,lightgbm,temporal_test_2023,6,3480382,304148,cohort_specific_top_fraction,0.1,any_prenatal_care,all_record_upper_bound,333995,348038,14043,55892,61723,5831,0.18376579822980918,0.20293738574641293,0.01917158751660375
target_preterm,landmark_strict,lightgbm,temporal_test_2023,6,3480382,304148,cohort_specific_top_fraction,0.1,early_entry,all_record_upper_bound,260014,348038,88024,44420,61723,17303,0.1460473190683483,0.20293738574641293,0.05689006667806462
target_preterm,landmark_strict,lightgbm,temporal_test_2023,6,3480382,304148,fixed_absolute_budget,0.05,early_entry,any_prenatal_care,174019,174019,0,33644,35752,2108,0.1106171995212857,0.1175480358246643,0.00693083630337861
target_preterm,landmark_strict,lightgbm,temporal_test_2023,6,3480382,304148,fixed_absolute_budget,0.05,any_prenatal_care,all_record_upper_bound,174019,174019,0,35752,37737,1985,0.1175480358246643,0.1240744637479122,0.006526427923247896
target_preterm,landmark_strict,lightgbm,temporal_test_2023,6,3480382,304148,fixed_absolute_budget,0.05,early_entry,all_record_upper_bound,174019,174019,0,33644,37737,4093,0.1106171995212857,0.1240744637479122,0.013457264226626506
