target,feature_set,model,evaluation,protocol,nominal_fraction,from_scenario,to_scenario,from_eligible_n,to_eligible_n,from_selected_n,to_selected_n,delta_selected_n,from_true_positive_n,to_true_positive_n,delta_true_positive_n,from_precision,to_precision,delta_precision,from_recall_among_eligible,to_recall_among_eligible,delta_recall_among_eligible,from_population_event_capture,to_population_event_capture,delta_population_event_capture,from_event_availability_ceiling,to_event_availability_ceiling
target_nicu,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.1,early_entry,any_prenatal_care,2597274,3335329,255166,337404,82238,41734,55021,13287,0.1635562731711905,0.16307156998731492,-0.0004847031838755844,0.19486025381232083,0.19698477709834022,0.002124523286019392,0.13760654170169972,0.1814168191634931,0.04381027746179336,0.7061806551593386,0.9209687257859769
target_nicu,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.1,any_prenatal_care,all_record_upper_bound,3335329,3476584,337404,361714,24310,55021,61011,5990,0.16307156998731492,0.1686719341800428,0.005600364192727886,0.19698477709834022,0.20116721895247044,0.00418244185413022,0.1814168191634931,0.20116721895247044,0.019750399788977357,0.9209687257859769,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.1,early_entry,all_record_upper_bound,2597274,3476584,255166,361714,106548,41734,61011,19277,0.1635562731711905,0.1686719341800428,0.005115661008852301,0.19486025381232083,0.20116721895247044,0.006306965140149612,0.13760654170169972,0.20116721895247044,0.06356067725077072,0.7061806551593386,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.05,early_entry,any_prenatal_care,2600093,3338986,130005,166949,36944,23229,30259,7030,0.17867774316372448,0.18124696763682321,0.0025692244730987357,0.13732619182746877,0.13555806431380982,-0.001768127513658957,0.09528829745339984,0.1241262470464689,0.028837949593069054,0.6938829088999737,0.9156684825413495
target_lbw,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.05,any_prenatal_care,all_record_upper_bound,3338986,3480316,166949,174016,7067,30259,32892,2633,0.18124696763682321,0.1890171018756896,0.007770134238866383,0.13555806431380982,0.134927146232607,-0.0006309180812028303,0.1241262470464689,0.134927146232607,0.010800899186138094,0.9156684825413495,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.05,early_entry,all_record_upper_bound,2600093,3480316,130005,174016,44011,23229,32892,9663,0.17867774316372448,0.1890171018756896,0.010339358711965119,0.13732619182746877,0.134927146232607,-0.0023990455948617873,0.09528829745339984,0.134927146232607,0.03963884877920715,0.6938829088999737,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.1,early_entry,any_prenatal_care,2600093,3338986,260009,333899,73890,39145,51025,11880,0.150552480875662,0.152815671804947,0.0022631909292850083,0.23141907869844874,0.2285881962924137,-0.0028308824060350457,0.16057774350223156,0.20931100682593856,0.048733263323707005,0.6938829088999737,0.9156684825413495
target_lbw,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.1,any_prenatal_care,all_record_upper_bound,3338986,3480316,333899,348032,14133,51025,55650,4625,0.152815671804947,0.1598990897388746,0.007083417933927583,0.2285881962924137,0.22828334208453663,-0.00030485420787706996,0.20931100682593856,0.22828334208453663,0.018972335258598066,0.9156684825413495,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.1,early_entry,all_record_upper_bound,2600093,3480316,260009,348032,88023,39145,55650,16505,0.150552480875662,0.1598990897388746,0.009346608863212591,0.23141907869844874,0.22828334208453663,-0.0031357366139121157,0.16057774350223156,0.22828334208453663,0.06770559858230507,0.6938829088999737,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.05,early_entry,any_prenatal_care,2600093,3338986,174016,174016,0,28918,31273,2355,0.16618012136815005,0.1797133596910629,0.013533238322912838,0.1709586643965191,0.14010070872420682,-0.03085795567231228,0.11862529535311105,0.12828580336046205,0.009660508007351007,0.6938829088999737,0.9156684825413495
target_lbw,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.05,any_prenatal_care,all_record_upper_bound,3338986,3480316,174016,174016,0,31273,32892,1619,0.1797133596910629,0.1890171018756896,0.009303742184626707,0.14010070872420682,0.134927146232607,-0.005173562491599837,0.12828580336046205,0.134927146232607,0.006641342872144934,0.9156684825413495,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.05,early_entry,all_record_upper_bound,2600093,3480316,174016,174016,0,28918,32892,3974,0.16618012136815005,0.1890171018756896,0.022836980507539545,0.1709586643965191,0.134927146232607,-0.03603151816391212,0.11862529535311105,0.134927146232607,0.01630185087949594,0.6938829088999737,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.1,early_entry,any_prenatal_care,2600093,3338986,348032,348032,0,48505,52674,4169,0.1393693683339463,0.15134815189407871,0.011978783560132406,0.28675392546348843,0.2359755933661264,-0.050778332097362044,0.1989736479390916,0.21607541349435547,0.017101765555263854,0.6938829088999737,0.9156684825413495
target_lbw,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.1,any_prenatal_care,all_record_upper_bound,3338986,3480316,348032,348032,0,52674,55650,2976,0.15134815189407871,0.1598990897388746,0.00855093784479588,0.2359755933661264,0.22828334208453663,-0.007692251281589763,0.21607541349435547,0.22828334208453663,0.01220792859018116,0.9156684825413495,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.1,early_entry,all_record_upper_bound,2600093,3480316,348032,348032,0,48505,55650,7145,0.1393693683339463,0.1598990897388746,0.020529721404928286,0.28675392546348843,0.22828334208453663,-0.05847058337895181,0.1989736479390916,0.22828334208453663,0.029309694145445014,0.6938829088999737,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.05,early_entry,any_prenatal_care,2600093,3338986,120487,168387,47900,21859,30453,8594,0.18142206213118428,0.1808512533627893,-0.0005708087683949925,0.1292269674612183,0.13642716985189365,0.007200202390675342,0.08966838409031241,0.12492205959569441,0.035253675505382,0.6938829088999737,0.9156684825413495
target_lbw,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.05,any_prenatal_care,all_record_upper_bound,3338986,3480316,168387,180653,12266,30453,33876,3423,0.1808512533627893,0.18751972012643023,0.00666846676364094,0.13642716985189365,0.13896363875032816,0.0025364688984345074,0.12492205959569441,0.13896363875032816,0.014041579154633749,0.9156684825413495,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.05,early_entry,all_record_upper_bound,2600093,3480316,120487,180653,60166,21859,33876,12017,0.18142206213118428,0.18751972012643023,0.0060976579952459475,0.1292269674612183,0.13896363875032816,0.00973667128910985,0.08966838409031241,0.13896363875032816,0.04929525466001575,0.6938829088999737,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.1,early_entry,any_prenatal_care,2600093,3338986,237973,332032,94059,36522,50823,14301,0.1534711921100293,0.15306657189668466,-0.00040462021334464193,0.21591231555051077,0.22768325135069753,0.01177093580018676,0.14981786558151747,0.20848237726437385,0.058664511682856385,0.6938829088999737,0.9156684825413495
target_lbw,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.1,any_prenatal_care,all_record_upper_bound,3338986,3480316,332032,355034,23002,50823,56481,5658,0.15306657189668466,0.15908617202859446,0.0060196001319098025,0.22768325135069753,0.23169220924127068,0.0040089578905731504,0.20848237726437385,0.23169220924127068,0.023209831976896828,0.9156684825413495,1.0
target_lbw,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.1,early_entry,all_record_upper_bound,2600093,3480316,237973,355034,117061,36522,56481,19959,0.1534711921100293,0.15908617202859446,0.0056149799185651605,0.21591231555051077,0.23169220924127068,0.01577989369075991,0.14981786558151747,0.23169220924127068,0.08187434365975321,0.6938829088999737,1.0
