year,target,nominal_fraction,replicate,full_event_n,B_early,B_all,C00_tp,C01_tp,C10_tp,C11_tp,availability_main_at_early_budget,capacity_main_in_early_cohort,interaction,ordered_capacity_within_early_cohort,ordered_availability_at_all_budget,availability_at_early_budget,capacity_in_all_cohort,shapley_availability,shapley_capacity,total_topq_contrast,identity_factorial_error,identity_shapley_error,interaction_via_availability_error,interaction_via_capacity_error
2024,target_preterm,0.05,24,306948,130149,175639,27641,34061,30547,38190,0.009467401644578224,0.02091559482387896,0.003984388235140815,0.02091559482387896,0.01345178987971904,0.009467401644578224,0.024899983059019776,0.011459595762148632,0.022907788941449368,0.034367384703598,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,24,306948,260299,351278,44426,54772,50664,62331,0.02032266051578771,0.03370603489841928,0.004303660554882238,0.03370603489841928,0.02462632107066995,0.02032266051578771,0.03800969545330152,0.02247449079322883,0.0358578651758604,0.05833235596908923,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,25,308047,130149,175639,27572,33970,30638,38261,0.0099530266485309,0.02076955789213983,0.003976665898385648,0.02076955789213983,0.013929692546916547,0.0099530266485309,0.024746223790525476,0.011941359597723723,0.022757890841332652,0.034699250439056376,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,25,308047,260299,351278,44688,55072,50707,62782,0.01953922615704748,0.03370914178680526,0.005489422068710281,0.03370914178680526,0.02502864822575776,0.01953922615704748,0.03919856385551554,0.02228393719140262,0.0364538528211604,0.05873779001256302,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,26,308056,130149,175639,27918,34313,30851,38530,0.009520996182512273,0.02075921261069416,0.004168073337315281,0.02075921261069416,0.013689069519827554,0.009520996182512273,0.024927285948009442,0.011605032851169914,0.0228432492793518,0.034448282130521715,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,26,308056,260299,351278,44691,55206,50986,62857,0.02043459630716493,0.034133404316098376,0.004401797075856334,0.034133404316098376,0.024836393383021266,0.02043459630716493,0.03853520139195471,0.0226354948450931,0.03633430285402654,0.05896979769911964,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,27,306759,130149,175639,27346,33716,30363,37916,0.009835082263275077,0.020765486913179393,0.003856447569590471,0.020765486913179393,0.013691529832865548,0.009835082263275077,0.024621934482769864,0.011763306048070313,0.02269371069797463,0.03445701674604494,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,27,306759,260299,351278,44275,54790,50297,62197,0.019631045869884817,0.03427772290299552,0.004514944956790196,0.03427772290299552,0.024145990826675012,0.019631045869884817,0.03879266785978572,0.021888518348279914,0.03653519538139062,0.058423713729670534,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,28,307971,130149,175639,27674,34047,30932,38375,0.01057891814489026,0.020693506856165028,0.0034743531046754483,0.020693506856165028,0.014053271249565708,0.01057891814489026,0.024167859960840476,0.012316094697227983,0.022430683408502752,0.034746778105730736,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,28,307971,260299,351278,44441,54742,50978,62675,0.02122602452828351,0.03344795451519786,0.004532894330959741,0.03344795451519786,0.02575891885924325,0.02122602452828351,0.0379808488461576,0.02349247169376338,0.03571440168067773,0.05920687337444111,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,29,307846,130149,175639,27886,34270,30886,38449,0.009745132306412954,0.020737641548046762,0.0038298369964202827,0.020737641548046762,0.013574969302833237,0.009745132306412954,0.024567478544467045,0.011660050804623096,0.022652560046256903,0.03431261085088,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,29,307846,260299,351278,44628,55152,50982,62571,0.02064019022498262,0.034185924130896606,0.0034595219687766077,0.034185924130896606,0.024099712193759226,0.02064019022498262,0.03764544609967321,0.022369951209370922,0.03591568511528491,0.05828563632465583,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,30,307652,130149,175639,27493,34042,30524,38140,0.009852040617320867,0.02128703860205687,0.003468204334767855,0.02128703860205687,0.013320244952088722,0.009852040617320867,0.024755242936824726,0.011586142784704795,0.023021140769440798,0.03460728355414559,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,30,307652,260299,351278,44667,55038,50692,62675,0.01958381547982785,0.03371016603175017,0.005239686398918253,0.03371016603175017,0.0248235018787461,0.01958381547982785,0.038949852430668425,0.022203658679286975,0.0363300092312093,0.05853366791049627,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,31,307948,130149,175639,27896,34417,30962,38585,0.009956226375881644,0.021175653032330127,0.003578526244690669,0.021175653032330127,0.013534752620572313,0.009956226375881644,0.024754179277020796,0.011745489498226978,0.022964916154675462,0.03471040565290244,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,31,307948,260299,351278,44891,55355,51236,63072,0.020604127969657215,0.03397976281709897,0.004455297647654816,0.03397976281709897,0.02505942561731203,0.020604127969657215,0.038435060464753784,0.022831776793484623,0.036207411640926376,0.059039188434411,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,32,308445,130149,175639,27962,34331,30722,38510,0.008948110684238689,0.020648738024607316,0.00460049603657052,0.020648738024607316,0.013548606720809209,0.008948110684238689,0.025249234061177836,0.011248358702523949,0.022948986042892576,0.034197344745416525,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,32,308445,260299,351278,44756,55304,50937,62623,0.020039229035970746,0.034197344745416525,0.0036894746227042197,0.034197344745416525,0.023728703658674966,0.020039229035970746,0.037886819368120744,0.021883966347322856,0.036042082056768635,0.05792604840409149,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,33,306821,130149,175639,27645,34007,30578,38148,0.009559319603286598,0.020735216950599863,0.003937149021742317,0.020735216950599863,0.013496468625028915,0.009559319603286598,0.02467236597234218,0.011527894114157756,0.022703791461471022,0.03423168557562878,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,33,306821,260299,351278,44513,54862,50494,62320,0.019493450578676186,0.03372976425994312,0.004813881709530926,0.03372976425994312,0.024307332288207112,0.019493450578676186,0.038543645969474044,0.02190039143344165,0.03613670511470858,0.05803709654815023,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,34,307262,130149,175639,27518,33957,30625,38081,0.0101118914802351,0.02095605704577852,0.0033098788655935435,0.02095605704577852,0.013421770345828643,0.0101118914802351,0.024265935911372064,0.011766830913031871,0.022610996478575292,0.03437782739160716,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,34,307262,260299,351278,44462,55002,50583,62292,0.01992110967187613,0.03430297270733121,0.003804570692112902,0.03430297270733121,0.023725680363989032,0.01992110967187613,0.03810754339944411,0.02182339501793258,0.03620525805338766,0.05802865307132024,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,35,308156,130149,175639,27484,33855,30471,38173,0.009693142434351432,0.02067459338776463,0.004319240903957744,0.02067459338776463,0.014012383338309176,0.009693142434351432,0.024993834291722375,0.011852762886330304,0.022834213839743503,0.03468697672607381,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,35,308156,260299,351278,44377,54987,50644,62496,0.02033710198730515,0.034430613066109395,0.004030426147795252,0.034430613066109395,0.024367528135100402,0.02033710198730515,0.038461039213904646,0.022352315061202777,0.03644582614000702,0.0587981412012098,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,36,307268,130149,175639,27482,34026,30330,38035,0.00926878164989521,0.02129736907195022,0.0037784604970253904,0.02129736907195022,0.013047242146920601,0.00926878164989521,0.02507582956897561,0.011158011898407906,0.023186599320462915,0.03434461121887082,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,36,307268,260299,351278,44545,54861,50625,62571,0.019787286668315612,0.03357329757735919,0.005304815340354346,0.03357329757735919,0.02509210200866996,0.019787286668315612,0.038878112917713537,0.022439694338492785,0.03622570524753636,0.05866539958602915,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,37,307645,130149,175639,27747,34060,30658,38326,0.009462204813990155,0.02052040501227065,0.004404427180679016,0.02052040501227065,0.01386663199466917,0.009462204813990155,0.024924832192949664,0.011664418404329663,0.022722618602610156,0.03438703700693982,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,37,307645,260299,351278,44548,54833,50632,62541,0.019776040566237052,0.03343139007622423,0.005278811617286161,0.03343139007622423,0.025054852183523213,0.019776040566237052,0.03871020169351039,0.022415446374880132,0.03607079588486731,0.05848624225974744,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,38,308670,130149,175639,27904,34298,30800,38560,0.009382188097320762,0.020714679107137077,0.004425438170214138,0.020714679107137077,0.0138076262675349,0.009382188097320762,0.025140117277351215,0.011594907182427831,0.022927398192244146,0.03452230537467198,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,38,308670,260299,351278,44712,55013,51090,62896,0.020662843813781695,0.033372209803349845,0.004875757281238874,0.033372209803349845,0.02553860109502057,0.020662843813781695,0.03824796708458872,0.023100722454401132,0.03581008844396928,0.058910810898370414,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,39,307351,130149,175639,27488,33844,30632,38191,0.010229346903052217,0.020679939222582655,0.003914091706225115,0.020679939222582655,0.014143438609277331,0.010229346903052217,0.02459403092880777,0.012186392756164774,0.022636985075695212,0.034823377831859986,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,39,307351,260299,351278,44212,54632,50496,62225,0.020445679369841013,0.03390260646622267,0.004258974267205867,0.03390260646622267,0.02470465363704688,0.020445679369841013,0.03816158073342854,0.022575166503443947,0.03603209359982561,0.058607260103269554,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,40,308179,130149,175639,27585,34241,30630,38203,0.009880621327215677,0.02159783762034402,0.0029755434341730003,0.02159783762034402,0.012856164761388678,0.009880621327215677,0.02457338105451702,0.011368393044302177,0.02308560933743052,0.0344540023817327,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,40,308179,260299,351278,44722,55224,50909,62794,0.020075994795232643,0.03407759775974353,0.004487651656991554,0.03407759775974353,0.024563646452224197,0.020075994795232643,0.03856524941673509,0.02231982062372842,0.03632142358823931,0.05864124421196773,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,41,307681,130149,175639,27627,34039,30656,38257,0.00984461178948326,0.02083976586139541,0.0038643920164066065,0.02083976586139541,0.013709003805889866,0.00984461178948326,0.024704157877802016,0.011776807797686563,0.022771961869598713,0.034548769667285276,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,41,307681,260299,351278,44630,55195,50824,62554,0.0201312398230635,0.03433751190356246,0.003786389149801256,0.03433751190356246,0.023917628972864757,0.0201312398230635,0.03812390105336372,0.02202443439796413,0.03623070647846309,0.05825514087642722,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,42,306808,130149,175639,27699,34109,30639,38304,0.009582540220593988,0.020892545174832466,0.004090506114573289,0.020892545174832466,0.013673046335167277,0.009582540220593988,0.024983051289405755,0.011627793277880633,0.02293779823211911,0.034565591509999744,0.0,0.0,0.0,0.0
