target,feature_set,model,evaluation,bootstrap_method,replicates,confidence_level,nominal_fraction,metric,point_estimate,point_estimate_pp,bootstrap_mean,bootstrap_mean_pp,bootstrap_se,bootstrap_se_pp,ci_lower,ci_upper,ci_lower_pp,ci_upper_pp
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,capacity_main_in_early_cohort,0.023336997899711207,2.3336997899711207,0.023346784721627968,2.3346784721627967,0.0002737862443451124,0.027378624434511237,0.022789287407011676,0.023885318786557308,2.2789287407011676,2.388531878655731
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,interaction,0.004015981885009193,0.4015981885009193,0.004013076603939759,0.4013076603939759,0.0004134892448638813,0.04134892448638813,0.0032419181465870237,0.004870509813443878,0.3241918146587024,0.4870509813443878
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,ordered_capacity_within_early_cohort,0.023336997899711207,2.3336997899711207,0.023346784721627968,2.3346784721627967,0.0002737862443451124,0.027378624434511237,0.022789287407011676,0.023885318786557308,2.2789287407011676,2.388531878655731
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,ordered_availability_at_all_budget,0.01630185087949594,1.630185087949594,0.016299121335127644,1.6299121335127644,0.0005204520485954738,0.05204520485954738,0.0153316953657836,0.017381054811763344,1.53316953657836,1.7381054811763343
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,availability_at_early_budget,0.012285868994486748,1.2285868994486748,0.012286044731187886,1.2286044731187886,0.0004671330562140633,0.04671330562140633,0.011361925386464376,0.013185550028114378,1.1361925386464375,1.318555002811438
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,capacity_in_all_cohort,0.0273529797847204,2.73529797847204,0.027359861325567728,2.7359861325567727,0.0002845705503568963,0.028457055035689627,0.026813151941900464,0.027929795466399884,2.6813151941900464,2.7929795466399883
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,shapley_availability,0.014293859936991345,1.4293859936991344,0.014292583033157766,1.4292583033157766,0.00044921985112306937,0.04492198511230694,0.013448557047435292,0.01522743028021886,1.3448557047435292,1.522743028021886
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,shapley_capacity,0.025344988842215803,2.53449888422158,0.025353323023597846,2.5353323023597847,0.00018768674422289,0.018768674422289,0.024955957658624642,0.025713528719661365,2.4955957658624643,2.5713528719661363
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,total_topq_contrast,0.03963884877920715,3.963884877920715,0.039645906056755616,3.9645906056755615,0.000441077383243229,0.044107738324322895,0.03885359915008073,0.04058405660525834,3.8853599150080727,4.058405660525834
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.1,C00_early_Bearly,0.16057774350223156,16.057774350223156,0.16055780736155117,16.055780736155118,0.0006744201080688954,0.06744201080688954,0.15911121752253138,0.16179657337842362,15.911121752253138,16.17965733784236
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.1,C10_all_Bearly,0.18327891178787084,18.327891178787084,0.1833029229516012,18.33029229516012,0.0007199940851653871,0.0719994085165387,0.18194722672210492,0.18479352442263677,18.194722672210492,18.47935244226368
